Hour,Block_4h,Spot_DA_EUR_MWh,aFRR_Pos_EUR_MW,aFRR_Neg_EUR_MW,P_charge_MW,P_discharge_MW,R_aFRR_Pos_MW,R_aFRR_Neg_MW,SOC_MWh,SOC_Pct
0,0,58.2,18.5,32.0,0.0,0.0,10.0,10.0,10.0,50.0
1,0,52.1,18.5,32.0,0.0,0.0,10.0,10.0,10.0,50.0
2,0,48.5,18.5,32.0,0.0,0.0,10.0,10.0,10.0,50.0
3,0,45.0,18.5,32.0,0.0,0.0,10.0,10.0,10.0,50.0
4,1,51.4,38.0,16.5,0.0,0.0,10.0,10.0,10.0,50.0
5,1,72.8,38.0,16.5,0.0,0.0,10.0,10.0,10.0,50.0
6,1,125.6,38.0,16.5,0.0,0.0,10.0,10.0,10.0,50.0
7,1,168.4,38.0,16.5,0.0,0.0,10.0,10.0,10.0,50.0
8,2,142.0,26.5,24.0,0.0,0.0,10.0,10.0,10.0,50.0
9,2,95.5,26.5,24.0,0.0,0.0,10.0,10.0,10.0,50.0
10,2,62.0,26.5,24.0,0.0,0.0,10.0,10.0,10.0,50.0
11,2,31.2,26.5,24.0,0.0,0.0,10.0,10.0,10.0,50.0
12,3,18.5,22.0,42.5,0.90909091,0.0,10.0,9.0909091,10.863636,54.31817999999999
13,3,12.0,22.0,42.5,0.90909091,0.0,10.0,9.0909091,11.727273,58.636365
14,3,24.8,22.0,42.5,0.90909091,0.0,10.0,9.0909091,12.590909,62.954544999999996
15,3,55.3,22.0,42.5,0.90909091,0.0,10.0,9.0909091,13.454545,67.272725
16,4,110.0,48.0,15.0,0.0,0.43181818,9.05,10.0,13.0,65.0
17,4,185.5,48.0,15.0,0.0,0.95,9.05,10.0,12.0,60.0
18,4,215.0,48.0,15.0,0.0,0.95,9.05,10.0,11.0,55.00000000000001
19,4,192.4,48.0,15.0,0.0,0.95,9.05,10.0,10.0,50.0
20,5,145.0,32.5,22.0,0.0,0.0,10.0,10.0,10.0,50.0
21,5,112.5,32.5,22.0,0.0,0.0,10.0,10.0,10.0,50.0
22,5,88.0,32.5,22.0,0.0,0.0,10.0,10.0,10.0,50.0
23,5,68.2,32.5,22.0,0.0,0.0,10.0,10.0,10.0,50.0
